sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
8.639667424412325,2.8,4.7,1.2
7.980915435407912,3.8,1.7,0.3
9.501968885929822,2.6,6.9,2.3
7.760787445999622,2.9,4.5,1.5
8.589471880800705,2.8,4.8,1.4
7.416273351538646,3.4,1.5,0.4
7.371454418552293,2.9,3.6,1.3
8.859529503311665,3.1,5.1,2.3
7.790012145805384,2.2,4.5,1.5
7.437875043113661,2.7,3.9,1.2
8.348076837520043,3.2,5.1,2.0
6.94658355552254,3.0,1.4,0.1
7.734846278695849,3.5,1.3,0.2
7.140521092043597,3.1,1.5,0.1
6.968056913218507,3.8,1.5,0.3
7.986176057853825,3.3,4.7,1.6
8.38870974321587,3.0,5.8,2.2
6.997223720590208,2.5,3.9,1.1
7.746569031701421,2.8,4.5,1.3
8.436947454562436,2.8,5.6,2.2
7.118145581205318,3.2,1.6,0.2
8.205494228775866,3.0,4.9,1.8
6.516725855080446,3.4,1.6,0.4
8.33982344899016,2.8,5.6,2.1
9.852759391970874,3.8,6.4,2.0
8.862364008705187,3.0,5.2,2.3
8.603850735069809,2.5,5.8,1.8
8.978407345228984,3.2,5.9,2.3
7.155351965248734,3.0,1.4,0.3
7.512126277223335,3.1,1.6,0.2
